station,Date,Time,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l),label
station1,19-08-2022,17:20:00,7.6787,5.5569,0.01669,27.6995,12.0323,22.4439,0.99113,0
station1,19-08-2022,17:40:00,20.9891,8.9807,0.04355,28.8864,11.5669,17.7326,0.76006,0
station1,19-08-2022,18:00:00,20.0319,8.9734,0.04071,21.0313,12.1235,28.448,0.31072,0
station1,19-08-2022,18:20:00,29.0142,6.4002,0.03815,20.4788,8.1068,16.2051,0.61409,0
station1,19-08-2022,18:40:00,9.3358,6.767,0.03582,24.7124,13.2738,25.6651,0.40161,0
station1,19-08-2022,19:00:00,11.7912,6.6238,0.02438,27.8383,19.4761,18.7148,0.71031,0
station1,19-08-2022,19:20:00,6.402,7.1678,0.02604,29.7752,15.1044,16.4421,0.39951,0
station1,19-08-2022,19:40:00,27.146,5.9268,0.03364,18.5821,9.4193,15.1344,0.78006,0
station1,19-08-2022,20:00:00,18.5994,6.1607,0.02369,30.6716,6.9958,16.9183,0.40653,0
station1,19-08-2022,20:20:00,30.6317,6.5274,0.04086,24.3325,15.148,28.0405,0.88332,0
station1,19-08-2022,20:40:00,39.6355,7.2959,0.04393,23.8394,13.7272,37.1341,0.63196,0
station1,19-08-2022,21:00:00,38.0114,8.5198,0.02367,22.6216,18.4269,26.1646,0.24671,0
station1,19-08-2022,21:20:00,5.347,8.6718,0.02052,21.2197,13.9512,21.3133,0.29677,0
station1,19-08-2022,21:40:00,11.8257,8.749,0.01953,22.6829,6.7018,30.1813,0.54194,0
station1,19-08-2022,22:00:00,36.1328,7.6911,0.03266,20.7235,10.1317,22.0586,0.40193,0
station1,19-08-2022,22:20:00,33.8324,6.4605,0.02103,19.5478,6.5204,27.5986,0.55105,0
station1,19-08-2022,22:40:00,9.8091,5.9986,0.01683,22.8457,9.5529,19.2303,0.27964,0
station1,19-08-2022,23:00:00,5.8206,8.9806,0.03217,27.4135,11.1606,16.5138,0.52029,0
station1,19-08-2022,23:20:00,21.0944,7.6478,0.04081,19.6066,10.827,22.3704,0.64385,0
station1,19-08-2022,23:40:00,29.5176,8.6106,0.01695,27.4961,16.5037,15.0419,0.2668,0
station1,19-08-2022,00:00:00,37.7957,7.0806,0.03865,18.6678,13.7322,21.3369,0.33365,0
station1,19-08-2022,00:20:00,26.8855,7.963,0.02228,23.4204,6.8989,28.5059,0.45472,0
station1,19-08-2022,00:40:00,2.7349,8.8282,0.0352,22.9985,19.6827,23.8197,0.95955,0
station1,19-08-2022,01:00:00,3.579,5.7738,0.01687,26.4923,11.8612,27.1913,0.54735,0
station1,19-08-2022,01:20:00,21.0291,5.5083,0.01917,29.6755,9.3606,24.8805,0.87616,0
station1,19-08-2022,01:40:00,2.5184,7.7173,0.03905,23.0986,10.6346,23.2892,0.41238,0
station1,19-08-2022,02:00:00,15.6006,8.634,0.02075,18.2244,15.8988,32.6355,0.51144,0
station1,19-08-2022,02:20:00,22.0059,7.9838,0.02691,20.1154,15.1692,16.1361,0.37048,0
station1,19-08-2022,02:40:00,12.3169,7.8179,0.02076,22.2519,17.9377,15.4924,0.76012,0
station1,19-08-2022,03:00:00,8.4242,8.6073,0.03058,27.2001,12.4101,21.8524,0.37614,0
station1,19-08-2022,03:20:00,2.5934,6.0697,0.02861,28.4757,12.5457,30.4717,0.46384,0
station1,19-08-2022,03:40:00,4.6282,8.9048,0.02472,26.1833,12.2865,15.3419,0.70817,0
station1,19-08-2022,04:00:00,12.3921,7.7623,0.02898,21.3483,8.6987,20.3973,0.56114,0
station1,19-08-2022,04:20:00,23.3662,8.9556,0.04489,20.6593,11.9118,31.0088,0.57714,0
station1,19-08-2022,04:40:00,19.8554,8.3776,0.02949,24.3559,17.953,15.2986,0.50994,0
station1,19-08-2022,05:00:00,29.5202,7.251,0.03478,27.1043,13.3314,31.9282,0.51294,0
station1,19-08-2022,05:20:00,3.8754,8.5379,0.03076,23.3025,18.1657,26.608,0.79129,0
station1,19-08-2022,05:40:00,17.9365,8.8283,0.03212,20.0242,7.4576,29.615,0.23939,0
station1,19-08-2022,06:00:00,34.7044,5.9588,0.03464,23.0595,7.5048,35.9966,0.72114,0
station1,19-08-2022,06:20:00,28.9366,7.8996,0.03352,30.0607,5.2478,35.0227,0.59443,0
station1,19-08-2022,06:40:00,39.5762,5.5191,0.03333,26.7241,9.4453,15.34,0.25695,0
station1,19-08-2022,07:00:00,23.8344,6.6633,0.03443,18.6211,17.618,34.7409,0.82758,0
station1,20-08-2022,07:20:00,28.1926,7.375,0.04112,23.1182,18.8611,25.5566,0.85435,0
station1,20-08-2022,07:40:00,6.6953,7.2557,0.03168,21.122,15.4211,23.5494,0.31193,0
station1,20-08-2022,08:00:00,31.1565,5.7671,0.02171,26.935,14.2304,34.956,0.9015,0
station1,20-08-2022,08:20:00,24.1368,7.1645,0.03385,18.1138,18.2003,17.4646,0.21924,0
station1,20-08-2022,08:40:00,1.8019,7.9461,0.0189,27.5765,12.1266,30.8097,0.81826,0
station1,20-08-2022,09:00:00,33.5797,6.2697,0.04263,24.521,12.6413,15.3616,0.92608,0
station1,20-08-2022,09:20:00,21.1811,5.6567,0.04463,28.8307,9.2293,23.9813,0.75567,0
station1,20-08-2022,09:40:00,12.6246,7.0808,0.02976,22.1626,7.5772,29.5213,0.64999,0
station1,20-08-2022,10:00:00,10.2417,8.7738,0.04075,25.9728,9.9453,26.1554,0.98916,0
station1,20-08-2022,10:20:00,31.16,8.4112,0.03747,28.5123,16.59,31.4869,0.80286,0
station1,20-08-2022,10:40:00,3.3099,7.0047,0.0354,26.3363,11.0088,27.8088,0.49716,0
station1,20-08-2022,11:00:00,2.7158,8.9276,0.03543,23.6719,10.0555,32.2543,0.90866,0
station1,20-08-2022,11:20:00,30.4565,7.6344,0.02805,25.709,9.9187,34.3227,0.94439,0
station1,20-08-2022,11:40:00,34.9966,7.3826,0.03796,28.8031,15.4159,22.2859,0.26629,0
station1,20-08-2022,12:00:00,14.329,8.9892,0.03008,19.1491,12.4672,31.588,0.66002,0
station1,20-08-2022,12:20:00,11.6417,8.8443,0.02077,18.9114,16.5284,35.5638,0.29037,0
station1,20-08-2022,12:40:00,30.0437,5.5774,0.03377,26.7414,15.3446,36.2804,0.32022,0
station1,20-08-2022,13:00:00,8.816,7.7869,0.04164,18.4587,14.4369,37.17,0.43513,0
station1,20-08-2022,13:20:00,37.6834,6.5006,0.02223,30.6136,16.1116,21.8327,0.70725,0
station1,20-08-2022,13:40:00,3.9691,6.7665,0.01745,23.8888,9.0792,24.2382,0.59932,0
station1,20-08-2022,14:00:00,31.4542,8.0767,0.01705,18.7517,17.881,29.9264,0.82203,0
station1,20-08-2022,14:20:00,10.2205,8.846,0.02162,18.8357,6.7089,23.3758,0.30175,0
station1,20-08-2022,14:40:00,2.8777,8.0274,0.04056,25.462,10.1829,36.9453,0.77273,0
station1,20-08-2022,15:00:00,3.6809,8.4038,0.04454,23.3107,10.6754,22.7523,0.24124,0
station1,20-08-2022,15:20:00,15.2724,8.4443,0.0199,29.1299,12.6366,27.5737,0.28274,0
station1,20-08-2022,15:40:00,19.5793,6.9621,0.02057,24.8055,9.9021,28.1688,0.95911,0
station1,20-08-2022,16:00:00,23.5525,8.5901,0.02834,20.705,19.2666,36.9834,0.3625,0
station1,20-08-2022,16:20:00,13.7236,8.2968,0.03559,29.6255,17.3441,26.6729,0.49531,0
station1,20-08-2022,16:40:00,34.8848,7.3368,0.0284,30.9573,6.9802,26.657,0.84493,0
station1,20-08-2022,17:00:00,3.6376,8.4644,0.01663,24.9955,9.8043,36.0352,0.94121,0
station1,20-08-2022,17:20:00,32.6261,6.3019,0.03689,19.7423,7.8011,33.4509,0.8791,0
station1,20-08-2022,17:40:00,10.093,8.6927,0.03247,19.4521,8.9457,15.6188,0.32534,0
station1,20-08-2022,18:00:00,13.9279,5.6525,0.03127,29.0415,12.0104,20.6581,0.91451,0
station1,20-08-2022,18:20:00,7.1524,6.3106,0.02862,18.8131,12.7218,26.4755,0.70584,0
station1,20-08-2022,18:40:00,33.5155,7.9858,0.02329,21.2111,17.1149,24.8702,0.89479,0
station1,20-08-2022,19:00:00,32.2376,6.0552,0.0416,20.1688,7.7366,31.5322,0.28852,0
station1,20-08-2022,19:20:00,30.678,5.941,0.01609,26.458,12.7898,31.0456,0.26069,0
station1,20-08-2022,19:40:00,8.0897,6.9778,0.0432,23.1118,13.1604,36.0548,0.23886,0
station1,20-08-2022,20:00:00,9.6518,6.9656,0.02257,20.799,16.5263,34.4994,0.22884,0
station1,20-08-2022,20:20:00,18.9072,6.0846,0.01513,24.8512,7.8447,38.6817,0.84016,0
station1,20-08-2022,20:40:00,4.7958,7.1061,0.03907,18.2304,17.9565,30.5879,0.82893,0
station1,20-08-2022,21:00:00,8.8945,5.777,0.02117,19.0235,19.2409,33.3979,0.70763,0
station1,20-08-2022,21:20:00,8.4122,6.0883,0.01894,19.3054,10.1871,36.9539,0.94704,0
station1,20-08-2022,21:40:00,34.7497,8.7337,0.01892,20.0761,6.2238,39.2324,0.72497,0
station1,20-08-2022,22:00:00,10.8494,7.1466,0.04121,27.5913,10.4313,22.3324,0.46007,0
station1,20-08-2022,22:20:00,15.202,6.1674,0.03517,24.4917,12.3489,30.2518,0.74513,0
station1,20-08-2022,22:40:00,14.0407,7.1715,0.03465,28.9051,6.1102,15.4583,0.80803,0
station1,20-08-2022,23:00:00,30.8633,8.1442,0.01551,19.0963,16.4511,27.2057,0.56105,0
station1,20-08-2022,23:20:00,24.9415,8.308,0.04475,29.4274,15.5565,37.7661,0.37408,0
station1,20-08-2022,23:40:00,3.0091,8.3868,0.03534,18.082,8.8487,18.3442,0.59744,0
station1,20-08-2022,00:00:00,12.1294,6.0236,0.03611,26.1285,8.3377,24.1687,0.45571,0
station1,20-08-2022,00:20:00,39.6076,7.442,0.02761,21.0146,19.2956,28.506,0.82812,0
station1,20-08-2022,00:40:00,28.38,5.5885,0.01764,22.7843,12.5493,17.628,0.73814,0
station1,20-08-2022,01:00:00,5.828,8.7289,0.03854,29.6608,18.7494,19.9842,0.86557,0
station1,20-08-2022,01:20:00,26.9153,8.1261,0.03947,26.6027,14.9646,38.9628,0.22989,0
station1,20-08-2022,01:40:00,23.1048,6.0198,0.03094,22.8778,17.2091,24.1261,0.31135,0
station1,20-08-2022,02:00:00,10.8951,8.8572,0.02678,22.6514,15.2864,38.3105,0.41578,0
station1,20-08-2022,02:20:00,16.4275,7.5491,0.03129,22.7818,14.6366,16.8674,0.57531,0
station1,20-08-2022,02:40:00,10.2894,8.1668,0.02934,29.3795,19.9848,15.3981,0.38539,0
station1,20-08-2022,03:00:00,39.3802,7.3538,0.03185,30.4654,9.2847,16.7818,0.37448,0
station1,20-08-2022,03:20:00,12.9219,7.0935,0.01662,25.0632,13.9914,25.5659,0.84212,0
station1,20-08-2022,03:40:00,19.3331,7.8509,0.02754,25.4786,11.2716,28.3704,0.49144,0
station1,20-08-2022,04:00:00,10.8566,6.4047,0.01994,20.4384,8.896,37.2649,0.28265,0
station1,20-08-2022,04:20:00,28.8749,8.9184,0.02436,24.1955,17.9272,23.746,0.48486,0
station1,20-08-2022,04:40:00,16.8447,8.9926,0.03291,25.6546,8.9318,35.5145,0.31493,0
station1,20-08-2022,05:00:00,15.7596,6.4408,0.01777,19.7507,16.7981,33.8835,0.61179,0
station1,20-08-2022,05:20:00,16.9557,7.5353,0.01706,21.6051,13.6674,16.32,0.51699,0
station1,20-08-2022,05:40:00,33.7456,7.904,0.0411,21.323,8.7899,33.1931,0.53468,0
station1,20-08-2022,06:00:00,36.2794,7.4862,0.03696,18.9094,7.9554,30.7545,0.33144,0
station1,20-08-2022,06:20:00,23.7489,7.8757,0.03606,25.3171,17.3803,34.6256,0.34617,0
station1,20-08-2022,06:40:00,35.837,6.3094,0.01611,22.4442,14.6944,35.6308,0.96143,0
station1,20-08-2022,07:00:00,13.4,8.5268,0.03791,20.9564,16.0283,26.5733,0.49881,0
station1,21-08-2022,07:20:00,38.2444,5.7087,0.04205,22.5387,9.5882,38.958,0.37707,0
station1,21-08-2022,07:40:00,20.3739,7.7897,0.03624,25.2864,6.6312,20.9769,0.29019,0
station1,21-08-2022,08:00:00,15.6918,5.8405,0.01732,29.5797,18.9174,33.7354,0.25958,0
station1,21-08-2022,08:20:00,38.8172,6.5853,0.0347,23.1726,10.491,19.4075,0.7162,0
station1,21-08-2022,08:40:00,26.3397,7.6165,0.01885,22.9682,8.7995,22.9972,0.612,0
station1,21-08-2022,09:00:00,24.9119,7.1182,0.04363,26.3315,10.8914,23.8387,0.29949,0
station1,21-08-2022,09:20:00,20.7591,8.348,0.03227,22.0067,6.9857,24.5947,0.42715,0
station1,21-08-2022,09:40:00,9.1075,6.0424,0.01739,24.5266,6.6598,37.7973,0.33881,0
station1,21-08-2022,10:00:00,22.048,8.1152,0.01914,29.8575,18.0635,37.1903,0.25331,0
station1,21-08-2022,10:20:00,23.9052,6.4651,0.02978,19.0291,9.2446,19.8667,0.26601,0
station1,21-08-2022,10:40:00,17.4203,8.7852,0.01581,21.3647,15.8727,32.4018,0.98635,0
station1,21-08-2022,11:00:00,7.3329,8.6584,0.03643,28.187,11.6255,35.9435,0.93414,0
station1,21-08-2022,11:20:00,38.8926,6.6448,0.02054,28.5073,11.8311,23.6417,0.55519,0
station1,21-08-2022,11:40:00,19.3323,6.5832,0.0387,19.9309,7.5968,22.9813,0.58403,0
station1,21-08-2022,12:00:00,6.7104,8.8943,0.04226,18.9726,7.2616,20.3399,0.96607,0
station1,21-08-2022,12:20:00,13.7263,6.813,0.02712,21.0701,8.9571,25.8948,0.57206,0
station1,21-08-2022,12:40:00,27.5329,7.2744,0.03468,19.2176,18.9479,27.1553,0.97551,0
station1,21-08-2022,13:00:00,32.8995,5.7156,0.03798,28.023,13.3134,25.6019,0.33346,0
station1,21-08-2022,13:20:00,6.6477,7.9184,0.01617,29.6976,10.1036,25.9842,0.99707,0
station1,21-08-2022,13:40:00,36.7091,7.3939,0.02847,29.3626,18.9571,39.9303,0.70003,0
station1,21-08-2022,14:00:00,8.2849,8.9405,0.02392,25.6939,13.6914,20.8984,0.44905,0
station1,21-08-2022,14:20:00,36.9784,6.9834,0.02518,26.7758,5.6005,15.8899,0.35586,0
station1,21-08-2022,14:40:00,35.3588,5.9936,0.01702,23.0179,5.8971,31.5578,0.96042,0
station1,21-08-2022,15:00:00,14.2066,7.5649,0.02065,21.4988,13.5882,29.2288,0.89267,0
station1,21-08-2022,15:20:00,15.9048,8.1424,0.01903,23.7664,12.0287,18.5992,0.40716,0
station1,21-08-2022,15:40:00,7.7659,6.7005,0.03707,24.5637,10.2744,24.6349,0.65089,0
station1,21-08-2022,16:00:00,27.115,7.8064,0.03801,22.7252,19.8957,25.9169,0.54181,0
station1,21-08-2022,16:20:00,9.6751,7.6544,0.04369,23.5606,13.4175,35.5588,0.94258,0
station1,21-08-2022,16:40:00,21.5962,6.1579,0.02507,24.1448,10.254,29.2491,0.39693,0
station1,21-08-2022,17:00:00,23.0048,6.9212,0.03922,20.4248,17.3337,19.7825,0.69806,0
station1,21-08-2022,17:20:00,12.4535,6.9074,0.02111,28.7741,15.6427,23.0188,0.80234,0
station1,21-08-2022,17:40:00,31.1307,6.1388,0.03403,30.7177,19.593,32.2099,0.9186,0
station1,21-08-2022,18:00:00,4.3209,6.964,0.02766,28.9995,5.9183,21.1385,0.78752,0
station1,21-08-2022,18:20:00,39.6112,6.6482,0.03567,19.1377,11.1771,15.26,0.67529,0
station1,21-08-2022,18:40:00,19.9341,8.3951,0.02632,27.4617,11.8055,27.886,0.37442,0
station1,21-08-2022,19:00:00,37.0128,8.6047,0.03002,23.641,11.6918,27.4672,0.63634,0
station1,21-08-2022,19:20:00,20.0049,6.087,0.03376,26.1385,19.2509,39.7415,0.83734,0
station1,21-08-2022,19:40:00,13.4281,5.9781,0.0413,22.931,12.8879,39.3509,0.57584,0
station1,21-08-2022,20:00:00,19.8895,6.8018,0.03978,21.1059,15.7223,17.0022,0.84122,0
station1,21-08-2022,20:20:00,9.5288,5.8775,0.02378,30.6613,13.3072,36.6671,0.48037,0
station1,21-08-2022,20:40:00,9.4046,7.7323,0.02183,20.9095,11.6085,33.0698,0.35941,0
station1,21-08-2022,21:00:00,38.7361,7.156,0.02617,23.3574,8.66,21.2145,0.66763,0
station1,21-08-2022,21:20:00,5.7352,8.1151,0.03657,26.0182,10.7536,16.0136,0.51435,0
station1,21-08-2022,21:40:00,21.7749,6.8567,0.03009,27.6711,18.4596,25.6223,0.97963,0
station1,21-08-2022,22:00:00,2.2786,7.3911,0.01798,20.3927,8.7947,20.5069,0.75362,0
station1,21-08-2022,22:20:00,9.6485,7.068,0.03792,22.8861,14.4301,16.2933,0.81989,0
station1,21-08-2022,22:40:00,38.4871,5.9697,0.02662,29.9925,8.061,17.5333,0.98496,0
station1,21-08-2022,23:00:00,33.8994,8.3367,0.04168,23.355,17.186,22.5671,0.22453,0
station1,21-08-2022,23:20:00,13.0774,5.7007,0.03077,22.3633,13.1057,18.3823,0.23779,0
station1,21-08-2022,23:40:00,32.5535,6.2671,0.02088,21.9873,19.9127,32.7953,0.30625,0
station1,21-08-2022,00:00:00,33.2948,6.2536,0.02229,21.0196,6.1197,39.9184,0.94657,0
station1,21-08-2022,00:20:00,28.98,5.5508,0.01742,29.8927,9.2832,17.6603,0.54658,0
station1,21-08-2022,00:40:00,8.8688,8.6861,0.03289,18.9624,13.1022,35.2828,0.68616,0
station1,21-08-2022,01:00:00,24.9038,6.8324,0.0316,24.3088,19.3529,33.02,0.55983,0
station1,21-08-2022,01:20:00,38.8573,8.2623,0.0283,25.302,16.1214,24.2603,0.39544,0
station1,21-08-2022,01:40:00,3.3912,8.7711,0.01544,18.7475,5.6298,31.2719,0.53204,0
station1,21-08-2022,02:00:00,3.3365,6.8364,0.04302,21.2553,11.5187,17.9681,0.95327,0
station1,21-08-2022,02:20:00,1.2087,7.0125,0.03236,24.4638,18.5958,20.8683,0.49669,0
station1,21-08-2022,02:40:00,39.8556,5.685,0.01806,19.222,14.1367,16.8613,0.72055,0
station1,21-08-2022,03:00:00,11.1972,5.6809,0.04303,28.1827,11.3114,35.287,0.89003,0
station1,21-08-2022,03:20:00,22.6728,7.019,0.02833,20.4452,15.4167,39.9091,0.55659,0
station1,21-08-2022,03:40:00,13.1915,7.8504,0.03232,24.8855,14.4695,28.1168,0.65227,0
station1,21-08-2022,04:00:00,18.7212,7.9563,0.03013,18.1707,16.1142,20.2584,0.38881,0
station1,21-08-2022,04:20:00,30.3953,7.338,0.02773,26.4755,10.0875,23.8863,0.86664,0
station1,21-08-2022,04:40:00,29.9946,8.4986,0.0201,23.0654,16.4613,29.4836,0.97074,0
station1,21-08-2022,05:00:00,1.9993,8.7254,0.02969,25.3407,16.1995,21.132,0.42668,0
station1,21-08-2022,05:20:00,33.5938,8.3027,0.0422,27.0759,18.4937,28.4678,0.90916,0
station1,21-08-2022,05:40:00,23.732,7.5985,0.02441,29.3646,7.2233,33.338,0.34865,0
station1,21-08-2022,06:00:00,18.9312,6.3637,0.03318,18.943,14.8479,35.3821,0.8582,0
station1,21-08-2022,06:20:00,20.8302,6.8393,0.02779,23.4888,16.1114,21.9108,0.50661,0
station1,21-08-2022,06:40:00,26.6608,7.0757,0.04015,20.6168,12.5594,20.3339,0.44677,0
station1,21-08-2022,07:00:00,15.3258,5.8171,0.03847,21.2926,13.6292,25.1599,0.23036,0
station1,22-08-2022,07:20:00,25.819,7.1963,0.01507,25.7,11.3979,17.7152,0.95463,0
station1,22-08-2022,07:40:00,38.6632,8.4155,0.0257,22.2602,15.0389,37.1801,0.42488,0
station1,22-08-2022,08:00:00,2.2871,8.7517,0.04116,29.3154,8.9386,19.8348,0.78104,0
station1,22-08-2022,08:20:00,39.979,7.0459,0.04023,27.5925,11.1388,32.188,0.60451,0
station1,22-08-2022,08:40:00,4.2306,6.176,0.03626,26.0399,12.5023,28.9435,0.21538,0
station1,22-08-2022,09:00:00,25.5361,7.972,0.04271,26.9254,14.0077,24.2958,0.52768,0
station1,22-08-2022,09:20:00,16.404,5.9769,0.03633,23.5966,18.9986,15.7619,0.66597,0
station1,22-08-2022,09:40:00,8.2631,8.8647,0.01809,20.4712,16.1925,19.1726,0.27639,0
station1,22-08-2022,10:00:00,16.4412,8.9193,0.01888,22.0624,8.2844,18.1077,0.74617,0
station1,22-08-2022,10:20:00,38.6991,8.8848,0.02206,21.8815,6.8564,16.9814,0.69818,0
station1,22-08-2022,10:40:00,15.3629,6.1937,0.04016,22.0069,16.9704,28.6795,0.34156,0
station1,22-08-2022,11:00:00,20.5052,5.6145,0.03533,27.7953,15.8061,37.7017,0.20571,0
station1,22-08-2022,11:20:00,11.7288,6.7904,0.02222,18.3932,16.6082,19.468,0.86929,0
station1,22-08-2022,11:40:00,17.8155,8.0805,0.03787,21.2296,5.5266,29.9444,0.90803,0
station1,22-08-2022,12:00:00,12.3432,6.0174,0.02933,30.7426,14.0054,17.685,0.48929,0
station1,22-08-2022,12:20:00,39.5142,7.6568,0.02182,26.8374,15.8151,27.5687,0.56838,0
station1,22-08-2022,12:40:00,14.1853,6.1117,0.03902,18.9372,17.2705,24.327,0.75927,0
station1,22-08-2022,13:00:00,14.7469,5.7848,0.03157,27.5163,6.7028,15.4734,0.39803,0
station1,22-08-2022,13:20:00,24.6104,7.8168,0.04379,23.3499,8.6816,18.5926,0.23918,0
station1,22-08-2022,13:40:00,32.466,8.27,0.04436,19.2374,5.0356,25.3951,0.73626,0
station1,22-08-2022,14:00:00,11.4956,7.557,0.02703,22.3484,13.4988,39.1164,0.62759,0
station1,22-08-2022,14:20:00,22.479,8.3695,0.02803,20.0746,14.9557,36.6985,0.32101,0
station1,22-08-2022,14:40:00,15.8772,7.5827,0.02311,21.5912,15.8952,30.6744,0.65681,0
station1,22-08-2022,15:00:00,16.6275,7.5548,0.04186,26.8847,16.5197,16.0024,0.84723,0
station1,22-08-2022,15:20:00,39.7778,8.6777,0.02865,27.189,19.6864,25.9472,0.24951,0
station1,22-08-2022,15:40:00,36.8363,8.92,0.01713,30.8759,15.444,23.6265,0.31745,0
station1,22-08-2022,16:00:00,36.8055,8.3769,0.01847,21.112,15.5571,38.0391,0.48952,0
station1,22-08-2022,16:20:00,39.4498,7.1397,0.02346,23.8211,7.102,34.4721,0.29654,0
station1,22-08-2022,16:40:00,8.0929,8.0758,0.02191,21.7408,7.0856,17.3804,0.69097,0
station1,22-08-2022,17:00:00,13.5049,7.3606,0.02022,26.2587,11.4187,30.3895,0.29119,0
station1,22-08-2022,17:20:00,10.6048,5.5715,0.02411,25.5933,5.882,16.0331,0.33748,0
station1,22-08-2022,17:40:00,1.5333,8.9282,0.03577,20.515,8.3713,26,0.95293,0
station1,22-08-2022,18:00:00,31.1011,8.0985,0.01647,20.9538,14.2942,39.9548,0.69574,0
station1,22-08-2022,18:20:00,24.199,6.9395,0.0282,20.2586,18.5526,20.4626,0.48151,0
station1,22-08-2022,18:40:00,17.1375,8.2587,0.0308,19.8403,12.0551,20.9798,0.68678,0
station1,22-08-2022,19:00:00,11.6961,8.4585,0.03272,22.0422,18.4591,17.0368,0.60563,0
station1,22-08-2022,19:20:00,17.6737,6.8294,0.04448,19.0563,17.7359,27.324,0.48205,0
station1,22-08-2022,19:40:00,18.8668,7.451,0.02817,20.0949,7.6735,21.2617,0.70013,0
station1,22-08-2022,20:00:00,7.6159,5.6397,0.02629,29.8807,16.2562,20.5015,0.98159,0
station1,22-08-2022,20:20:00,3.6421,8.1029,0.03357,22.2149,17.1659,18.2711,0.64097,0
station1,22-08-2022,20:40:00,15.5573,8.8575,0.0338,28.6354,9.2365,29.565,0.8023,0
station1,22-08-2022,21:00:00,12.9606,7.9452,0.03071,25.5429,6.7511,15.0082,0.46831,0
station1,22-08-2022,21:20:00,6.4361,7.9324,0.02987,29.8897,7.7069,24.1728,0.93211,0
station1,22-08-2022,21:40:00,28.6852,7.418,0.04202,30.1222,17.1835,15.3364,0.74522,0
station1,22-08-2022,22:00:00,34.5758,7.4437,0.02349,18.2397,10.2583,30.6947,0.58904,0
station1,22-08-2022,22:20:00,7.7159,8.6706,0.03604,20.5281,12.8925,18.4185,0.61018,0
station1,22-08-2022,22:40:00,30.6494,8.2706,0.02708,22.6957,19.3213,18.9056,0.24184,0
station1,22-08-2022,23:00:00,28.1062,8.2881,0.0334,29.0825,10.055,24.8272,0.23483,0
station1,22-08-2022,23:20:00,8.9682,7.978,0.04199,24.3061,12.3331,30.2852,0.25324,0
station1,22-08-2022,23:40:00,16.7391,6.3155,0.02265,23.4554,15.81,24.635,0.90109,0
station1,22-08-2022,00:00:00,24.1863,6.0523,0.02721,26.7851,10.9356,21.3814,0.77815,0
station1,22-08-2022,00:20:00,20.6782,8.808,0.04187,26.8767,6.3581,24.4963,0.98708,0
station1,22-08-2022,00:40:00,20.1453,5.6905,0.04054,30.7889,14.7632,18.1639,0.84225,0
station1,22-08-2022,01:00:00,7.4832,7.6585,0.04296,22.8285,8.472,15.4055,0.23263,0
station1,22-08-2022,01:20:00,7.2904,7.1019,0.02453,18.405,15.657,37.338,0.75464,0
station1,22-08-2022,01:40:00,27.8079,7.4785,0.02002,27.0424,16.8435,23.6814,0.21841,0
station1,22-08-2022,02:00:00,34.44,7.2107,0.04277,30.6939,5.4478,26.3463,0.68185,0
station1,22-08-2022,02:20:00,19.0612,5.5804,0.03589,29.4621,17.9623,21.6322,0.57914,0
station1,22-08-2022,02:40:00,15.8979,7.8745,0.04269,21.3613,12.6838,35.4615,0.36068,0
station1,22-08-2022,03:00:00,2.7745,6.2576,0.02757,26.3594,16.9555,22.5537,0.90705,0
station1,22-08-2022,03:20:00,34.5366,7.0632,0.04141,27.6137,8.9721,31.2176,0.45574,0
station1,22-08-2022,03:40:00,6.3363,6.6255,0.04495,30.6674,8.4936,32.9732,0.7926,0
station1,22-08-2022,04:00:00,10.2262,7.6799,0.0396,30.8879,5.8636,36.1494,0.31704,0
station1,22-08-2022,04:20:00,9.4291,8.849,0.01912,20.5946,17.9992,25.6778,0.33959,0
station1,22-08-2022,04:40:00,21.6695,5.9302,0.02118,21.8073,11.674,34.3136,0.45803,0
station1,22-08-2022,05:00:00,21.4372,7.8255,0.04457,18.9934,19.4657,30.2749,0.83434,0
station1,22-08-2022,05:20:00,22.9863,8.7981,0.04238,25.1969,12.2453,32.7923,0.75951,0
station1,22-08-2022,05:40:00,37.8839,7.7382,0.02217,27.7945,9.0761,31.266,0.68935,0
station1,22-08-2022,06:00:00,30.0609,8.8946,0.02536,27.2969,6.0287,19.4672,0.77692,0
station1,22-08-2022,06:20:00,6.2301,6.4009,0.03191,27.4197,9.3659,31.7968,0.44929,0
station1,22-08-2022,06:40:00,23.9636,7.8406,0.01684,24.0658,8.3852,34.8532,0.70224,0
station1,22-08-2022,07:00:00,39.3998,6.198,0.02802,21.0209,10.7648,29.9021,0.87533,0
station1,23-08-2022,07:20:00,24.7981,7.4428,0.023,29.1873,14.3879,23.35,0.9631,0
station1,23-08-2022,07:40:00,17.1719,8.2729,0.03596,26.3282,15.1477,39.5838,0.32875,0
station1,23-08-2022,08:00:00,2.8432,8.7992,0.02716,27.1808,16.2115,17.269,0.31362,0
station1,23-08-2022,08:20:00,26.1557,7.6329,0.01564,19.6194,14.6483,35.4688,0.73475,0
station1,23-08-2022,08:40:00,6.5101,6.4228,0.02724,20.1574,9.061,27.5891,0.27071,0
station1,23-08-2022,09:00:00,11.2254,8.9337,0.03391,23.1088,6.7171,32.1765,0.36917,0
station1,23-08-2022,09:20:00,14.6529,7.0582,0.02242,23.9312,15.0399,23.5719,0.60637,0
