Station,Date,NITRATE(PPM),PH,AMMONIA(mg/l),TEMP,DO,TURBIDITY,MANGANESE(mg/l)
station1,08-04-2022 18:19,29.1,5.4,0.1,18.21,7.5,40.4,0.6
station1,08-04-2022 18:39,21.4,5.6,0.1,15.84,7.1,99.4,0.69
station1,08-04-2022 18:59,17.7,5.8,0,19.6,6.6,85.4,0.63
station1,08-04-2022 19:19,26.1,5.7,0,19.93,7.9,83.2,0.62
station1,08-04-2022 19:39,7.3,5.6,0,18.69,7.8,4.7,0.61
station1,08-04-2022 19:59,28.9,5.7,0,17.86,8.3,15.7,0.67
station1,08-04-2022 20:19,39.3,5.9,0.1,16.05,7.5,97.5,0.61
station1,08-04-2022 20:39,27.3,5.2,0,16.59,7.8,80,0.64
station1,08-04-2022 20:59,23.5,5.9,0.1,19.48,6.5,73,0.66
station1,08-04-2022 21:19,7.9,5.1,0,18.29,7,69.2,0.74
station1,08-04-2022 21:39,16.1,5,0,16.66,7.1,21.1,0.72
station1,08-04-2022 21:59,10,5.5,0.1,19.68,7,20,0.6
station1,08-04-2022 22:19,33.9,5,0.1,19.52,8.4,18.4,0.74
station1,08-04-2022 22:39,33.4,5.9,0,19.47,8.2,66,0.62
station1,08-04-2022 22:59,30.7,5.7,0.1,15.89,7.6,81.6,0.64
station1,08-04-2022 23:19,5.9,6,0.1,16.88,8.1,96.4,0.74
station1,08-04-2022 23:39,21.1,5.9,0,18.02,7.9,31.6,0.72
station1,08-04-2022 23:59,40,5.8,0.1,15.19,6.8,13.4,0.64
station1,09-04-2022 00:19,4.6,5.3,0.1,19.59,6.9,73.2,0.67
station1,09-04-2022 00:39,10.5,5.7,0.1,18.91,8,17.7,0.71
station1,09-04-2022 00:59,10.4,5.1,0.1,19.07,6.5,79.1,0.63
station1,09-04-2022 01:19,38,5.2,0,19.93,7.8,8.6,0.66
station1,09-04-2022 01:39,36.3,5.3,0,16.66,8.5,8.2,0.73
station1,09-04-2022 01:59,17.5,5.8,0,15.38,7.5,10.8,0.71
station1,09-04-2022 02:19,35.5,5.4,0,16.14,6.8,44.2,0.67
station1,09-04-2022 02:39,37,5,0.1,17.15,6.9,15.5,0.61
station1,09-04-2022 02:59,28.2,5.2,0,17.7,8.5,9.8,0.62
station1,09-04-2022 03:19,14.2,5.1,0,17.35,7.4,66.7,0.63
station1,09-04-2022 03:39,21.8,6,0.1,18.68,8.1,48.3,0.68
station1,09-04-2022 03:59,0.6,5.7,0,17.61,7.6,64.7,0.63
station1,09-04-2022 04:19,28.6,6,0,17.37,8.5,54,0.71
station1,09-04-2022 04:39,31.3,5.9,0.1,18.5,6.9,1.5,0.63
station1,09-04-2022 04:59,26.6,5.2,0,19.47,8.5,27.5,0.7
station1,09-04-2022 05:19,26.5,5.8,0,17.11,8.3,4.4,0.71
station1,09-04-2022 05:39,15.5,5.3,0.1,15.12,7.1,68.6,0.72
station1,09-04-2022 05:59,11.5,5.8,0,15.41,8.3,83,0.65
station1,09-04-2022 06:19,26.4,5.6,0.1,15.69,6.9,68.9,0.62
station1,09-04-2022 06:39,8.2,5.5,0,15.87,7.8,93.4,0.61
station1,09-04-2022 06:59,39.8,5.8,0.1,16.5,7.7,8.1,0.7
station1,09-04-2022 07:19,3,5.8,0.1,15.81,6.5,38.3,0.68
station1,09-04-2022 07:39,26.2,5.8,0.1,17.29,8.2,53.5,0.6
station1,09-04-2022 07:59,19.9,5.5,0.1,19.98,7.4,38,0.73
station1,09-04-2022 08:19,21.5,6,0,15.93,8.5,71.7,0.73
station1,09-04-2022 08:39,3.8,6,0,18.18,8,54.2,0.73
station1,09-04-2022 08:59,10.7,5.4,0.1,17.05,6.5,93.5,0.7
station1,09-04-2022 09:19,10.8,5.2,0,18.49,7.8,5.2,0.63
station1,09-04-2022 09:39,3.6,5.4,0,16.29,8.1,43.2,0.73
station1,09-04-2022 09:59,19.1,5.8,0,18.15,8.4,21.5,0.65
station1,09-04-2022 10:19,22.4,5.1,0,15.45,7.4,60.5,0.69
station1,09-04-2022 10:39,10,5.8,0,16.75,8.5,3.6,0.72
station1,09-04-2022 10:59,13.8,5.3,0,16.02,8.1,30.4,0.6
station1,09-04-2022 11:19,15.8,5.2,0.1,16.51,6.7,65.9,0.69
station1,09-04-2022 11:39,39.9,6,0.1,15.54,7.6,80.2,0.67
station1,09-04-2022 11:59,6.6,5,0.1,15.22,8,25.2,0.61
station1,09-04-2022 12:19,14.4,5.8,0,15.08,7.5,62.7,0.61
station1,09-04-2022 12:39,37.8,5.5,0,18.02,7.4,15.2,0.68
station1,09-04-2022 12:59,34.1,5.3,0,17.94,7,37,0.61
station1,09-04-2022 13:19,21.9,5.5,0,17.19,7.2,75.9,0.66
station1,09-04-2022 13:39,20.2,5.7,0,15.42,6.6,59,0.75
station1,09-04-2022 13:59,18.6,5.5,0,17.12,6.5,57.9,0.61
station1,09-04-2022 14:19,10.9,5.7,0,19.75,7.9,28.7,0.72
station1,09-04-2022 14:39,28.5,6,0.1,19.57,7.4,61,0.6
station1,09-04-2022 14:59,9.4,5.1,0,16.4,6.9,80.1,0.6
station1,09-04-2022 15:19,20.4,5.2,0,15.59,7.7,88.4,0.73
station1,09-04-2022 15:39,4.5,5.6,0,16.51,8.1,16,0.7
station1,09-04-2022 15:59,34,5.7,0,15.61,8.2,51.9,0.64
station1,09-04-2022 16:19,10.5,5.8,0.1,19.47,7.9,39.2,0.65
station1,09-04-2022 16:39,28.9,5,0,16.81,7.9,86.8,0.69
station1,09-04-2022 16:59,8.2,5.2,0.1,19.45,7.4,33.5,0.7
station1,09-04-2022 17:19,9.3,5.4,0.1,18.62,8.2,27.2,0.68
station1,09-04-2022 17:39,1.8,5.5,0,18.9,7.6,33.8,0.63
station1,09-04-2022 17:59,35.3,6,0,19.15,8.4,45.9,0.66
station1,09-04-2022 18:19,25.2,6,0.1,15.99,6.9,89.2,0.61
station1,09-04-2022 18:39,36.1,5.5,0.1,15.22,8.1,57.5,0.62
station1,09-04-2022 18:59,38.9,5.7,0.1,18.13,7.4,2.3,0.64
station1,09-04-2022 19:19,24.4,5.5,0,16.94,8,9.8,0.72
station1,09-04-2022 19:39,31.6,5.9,0.1,19.12,6.5,99.6,0.63
station1,09-04-2022 19:59,25.3,5,0,17.05,7.2,81.8,0.73
station1,09-04-2022 20:19,10.5,5.9,0.1,15.66,6.6,58.8,0.75
station1,09-04-2022 20:39,15.1,5.7,0.1,19.22,7.1,100,0.65
station1,09-04-2022 20:59,0.9,5.4,0.1,17.16,7.5,56.2,0.68
station1,09-04-2022 21:19,7.6,6,0.1,19.52,7.5,5.4,0.71
station1,09-04-2022 21:39,31.2,5,0.1,19.22,6.5,52.3,0.63
station1,09-04-2022 21:59,38.7,6,0.1,15.13,8.4,37.3,0.64
station1,09-04-2022 22:19,15,5.8,0,15.48,6.8,72.1,0.74
station1,09-04-2022 22:39,2.1,5.3,0,15.6,6.9,34.6,0.67
station1,09-04-2022 22:59,23.5,6,0.1,15.21,8.1,27.2,0.67
station1,09-04-2022 23:19,7.4,5.5,0.1,15.13,7.6,17.8,0.73
station1,09-04-2022 23:39,27.5,5.5,0,19.92,8.3,98.7,0.75
station1,09-04-2022 23:59,6.2,5.2,0.1,16.32,6.8,46.4,0.69
station1,10-04-2022 00:19,22.9,5.1,0,19.36,7.6,75,0.66
station1,10-04-2022 00:39,9,5.5,0.1,18.66,6.7,26.1,0.64
station1,10-04-2022 00:59,9.4,5.6,0,15.6,7.1,36.8,0.7
station1,10-04-2022 01:19,26.1,5.6,0.1,15.71,8,82.3,0.69
station1,10-04-2022 01:39,34.8,5.3,0.1,18.98,7.2,99.7,0.67
station1,10-04-2022 01:59,4.2,5.3,0.1,15.43,6.6,88.1,0.73
station1,10-04-2022 02:19,14.6,5.2,0.1,16.83,7.4,82.1,0.71
station1,10-04-2022 02:39,9.4,5.8,0.1,16.1,6.9,40.5,0.75
station1,10-04-2022 02:59,9,5.2,0.1,15.22,7.9,22.4,0.72
station1,10-04-2022 03:19,18.3,5.9,0,18.47,6.7,49.1,0.75
station1,10-04-2022 03:39,33.3,5,0,17.41,8.5,76.7,0.61
station1,10-04-2022 03:59,22,5.7,0,17.38,7,82.8,0.73
station1,10-04-2022 04:19,18.6,5.1,0,17.79,7.8,25.5,0.72
station1,10-04-2022 04:39,5.6,5.7,0,19.57,6.8,91.8,0.74
station1,10-04-2022 04:59,6.6,5.8,0.1,16.55,8.5,3,0.63
station1,10-04-2022 05:19,35.3,5.7,0,19.95,7.9,14.7,0.7
station1,10-04-2022 05:39,25.8,5.6,0.1,15.54,6.8,62.6,0.71
station1,10-04-2022 05:59,0.3,5.5,0,18.52,7,46.5,0.68
station1,10-04-2022 06:19,26.8,5.5,0,18.91,7.6,51.9,0.74
station1,10-04-2022 06:39,31.4,6,0,19.81,7.3,44.3,0.64
station1,10-04-2022 06:59,16.2,5.7,0,19.17,8,80.2,0.75
station1,10-04-2022 07:19,37.9,5.7,0,15.1,8.1,95.7,0.73
station1,10-04-2022 07:39,28.5,5.7,0,18.4,8.2,7.1,0.6
station1,10-04-2022 07:59,10.1,5.7,0.1,16.84,6.8,32.4,0.64
station1,10-04-2022 08:19,12.6,6,0,18.47,7.3,9.6,0.73
station1,10-04-2022 08:39,16.3,5.8,0,16.03,7.1,17.6,0.74
station1,10-04-2022 08:59,23.8,5.6,0.1,18.86,7.9,63.6,0.75
station1,10-04-2022 09:19,31.5,5.9,0.1,16.1,8.3,7,0.68
station1,10-04-2022 09:39,34.9,5.8,0,19.14,7,25.5,0.61
station1,10-04-2022 09:59,22.8,5.5,0.1,19.24,6.6,39.3,0.62
station1,10-04-2022 10:19,9.4,5.3,0,16.22,6.7,20.6,0.6
station1,10-04-2022 10:39,1.7,5.5,0.1,18.6,7,65.6,0.73
station1,10-04-2022 10:59,13.4,5.5,0.1,15.82,7.5,49.6,0.69
station1,10-04-2022 11:19,12.4,5.5,0,17.96,6.8,28,0.67
station1,10-04-2022 11:39,7.2,5.3,0.1,19.74,7.4,76.9,0.7
station1,10-04-2022 11:59,37.3,5.3,0.1,17.7,8.4,40.8,0.68
station1,10-04-2022 12:19,2.9,5.1,0.1,15.57,8.5,99.6,0.68
station1,10-04-2022 12:39,11.5,5.8,0.1,17.56,7.4,13,0.63
station1,10-04-2022 12:59,4.1,5,0,19.71,6.6,27.1,0.68
station1,10-04-2022 13:19,27,5.9,0,18.12,6.8,21.9,0.68
station1,10-04-2022 13:39,14.7,5.2,0,18.04,7,87.9,0.67
station1,10-04-2022 13:59,32.1,5.6,0.1,16.89,6.7,18.1,0.72
station1,10-04-2022 14:19,4.4,5.6,0.1,17.41,7.2,79.1,0.67
station1,10-04-2022 14:39,13.9,5.2,0.1,16.11,6.5,63.2,0.68
station1,10-04-2022 14:59,0.1,5.8,0,19.63,6.5,23.2,0.74
station1,10-04-2022 15:19,26.7,5.4,0.1,16.64,7.4,89.7,0.63
station1,10-04-2022 15:39,2.2,5.7,0.1,18.47,8.3,15.2,0.74
station1,10-04-2022 15:59,17.8,5.2,0.1,19.56,7.6,82,0.67
station1,10-04-2022 16:19,22.4,5.1,0.1,15.07,7.3,66.1,0.7
station1,10-04-2022 16:39,17.7,5.2,0,18.32,6.5,17.7,0.61
station1,10-04-2022 16:59,24.3,5,0,15.76,8.1,48.4,0.66
station1,10-04-2022 17:19,11.1,5.2,0.1,18.08,6.8,22.3,0.72
station1,10-04-2022 17:39,10.2,5.5,0,18.4,6.5,82.5,0.64
station1,10-04-2022 17:59,37.2,5.6,0.1,15.83,7.9,34.6,0.6
station1,10-04-2022 18:19,29.9,5.5,0,18.16,8.4,42.2,0.66
station1,10-04-2022 18:39,19.8,5.5,0,19.39,7.4,11.7,0.67
station1,10-04-2022 18:59,0.9,6,0.1,17.17,6.5,12.6,0.71
station1,10-04-2022 19:19,11,5.1,0.1,17.94,7.4,39.8,0.67
station1,10-04-2022 19:39,23,5.4,0.1,17.11,7.7,80.6,0.69
station1,10-04-2022 19:59,23.9,5,0.1,16.76,6.8,1,0.74
station1,10-04-2022 20:19,24,5.6,0.1,16.7,6.5,53.6,0.71
station1,10-04-2022 20:39,2.4,5.5,0,19.23,7.2,88.7,0.69
station1,10-04-2022 20:59,24.5,5.3,0.1,17.76,7.3,59.8,0.73
station1,10-04-2022 21:19,2.7,5.9,0.1,15.01,8.5,20.2,0.61
station1,10-04-2022 21:39,16.9,6,0,18.96,7.1,80.4,0.68
station1,10-04-2022 21:59,15.3,5.7,0.1,18.59,6.9,61.7,0.72
station1,10-04-2022 22:19,6.8,5,0.1,18.81,6.5,28.6,0.69
station1,10-04-2022 22:39,22.2,5.1,0,19.02,8.4,63.1,0.72
station1,10-04-2022 22:59,18.1,5.1,0.1,17.08,6.6,6.1,0.67
station1,10-04-2022 23:19,34.1,5.6,0.1,19.01,7.6,66.4,0.61
station1,10-04-2022 23:39,31,5.6,0,19.77,7.9,14.7,0.68
station1,10-04-2022 23:59,11.8,5.5,0.1,17.48,7.1,65.8,0.72
station1,11-04-2022 00:19,3.9,5.4,0.1,17.84,6.6,20.2,0.62
station1,11-04-2022 00:39,31.3,5.7,0.1,16.4,6.8,21.8,0.63
station1,11-04-2022 00:59,34.6,5.5,0,17.66,8.3,28.9,0.62
station1,11-04-2022 01:19,22.2,5.9,0,16.29,8.4,76.1,0.65
station1,11-04-2022 01:39,13.9,5.6,0.1,17.69,6.7,7.3,0.64
station1,11-04-2022 01:59,23.2,5.3,0,18.12,6.6,44.8,0.68
station1,11-04-2022 02:19,0.4,5.8,0,18.3,6.7,19.8,0.61
station1,11-04-2022 02:39,11,5.1,0.1,17.04,8.1,19.7,0.75
station1,11-04-2022 02:59,10.1,5.3,0.1,17.6,7.1,2.5,0.68
station1,11-04-2022 03:19,15.3,5.1,0,15.14,7.6,54.1,0.71
station1,11-04-2022 03:39,13.5,5,0.1,16.52,6.5,56.9,0.64
station1,11-04-2022 03:59,17.7,5.1,0.1,16.09,7.6,77.9,0.68
station1,11-04-2022 04:19,21,5.5,0,16.86,8.1,16.7,0.68
station1,11-04-2022 04:39,5.9,5.1,0,16.19,6.6,61.3,0.63
station1,11-04-2022 04:59,35.5,5.2,0.1,16.1,7,64.5,0.75
station1,11-04-2022 05:19,26.2,5.3,0,16.49,6.7,39.8,0.67
station1,11-04-2022 05:39,18.3,5.9,0,15,8.1,24.8,0.71
station1,11-04-2022 05:59,9.4,5.5,0.1,17.92,7.6,5.1,0.68
station1,11-04-2022 06:19,8,5.8,0,16.69,7,47,0.69
station1,11-04-2022 06:39,23.6,5.3,0,17.92,7.1,85.8,0.67
station1,11-04-2022 06:59,35.3,5.7,0.1,18.05,8.5,6.4,0.61
station1,11-04-2022 07:19,19.3,5.3,0.1,15.4,6.6,28.3,0.73
station1,11-04-2022 07:39,0.1,5.6,0,18.17,8.1,46.4,0.71
station1,11-04-2022 07:59,16,5.8,0,16.46,6.6,42.1,0.68
station1,11-04-2022 08:19,28.1,5.3,0.1,16.7,8,88.8,0.73
station1,11-04-2022 08:39,9.7,5.7,0.1,16.9,7.6,25.8,0.6
station1,11-04-2022 08:59,33.6,5,0,15.43,7.2,11.8,0.7
station1,11-04-2022 09:19,28.1,5,0,17.1,8,7.3,0.67
station1,11-04-2022 09:39,15.4,5.4,0,17.27,7.5,81.5,0.7
station1,11-04-2022 09:59,24.2,5.4,0.1,15.17,8.4,79.9,0.69
station1,11-04-2022 10:19,13.1,5.3,0.1,19.52,6.9,16.8,0.74
station1,11-04-2022 10:39,17.1,5.5,0.1,19.61,8.4,54.3,0.6
station1,11-04-2022 10:59,0.1,5.2,0.1,17.42,8.4,6.7,0.64
station1,11-04-2022 11:19,32.4,5.2,0.1,19.85,6.8,38.6,0.69
station1,11-04-2022 11:39,11.8,6,0.1,16.18,8,64.9,0.63
station1,11-04-2022 11:59,2.8,5.6,0.1,19.73,7.3,8.5,0.69
station1,11-04-2022 12:19,10.9,5.3,0,17.36,8.2,81.9,0.69
station1,11-04-2022 12:39,18.8,5.1,0.1,15.25,8.5,30.9,0.62
station1,11-04-2022 12:59,3.6,5.1,0,19.45,7.9,99.1,0.61
station1,11-04-2022 13:19,30.9,5.4,0.1,18.6,7.4,96.8,0.66
station1,11-04-2022 13:39,13.3,5.3,0,15.9,8.2,69.9,0.74
station1,11-04-2022 13:59,7.7,5.1,0,19.84,7.1,21.5,0.75
station1,11-04-2022 14:19,2.6,5.7,0.1,19.27,6.5,98.3,0.73
station1,11-04-2022 14:39,8.9,5.6,0.1,16.89,6.9,30.4,0.68
station1,11-04-2022 14:59,15.9,5.6,0.1,15.69,6.8,52,0.62
station1,11-04-2022 15:19,3.8,5.2,0.1,17.34,7.7,35.8,0.69
station1,11-04-2022 15:39,14.7,5.7,0.1,15.97,8.1,97.5,0.75
station1,11-04-2022 15:59,5.5,5.1,0,19.95,8.5,26.4,0.64
station1,11-04-2022 16:19,23,5.2,0,16,6.9,7.7,0.6
station1,11-04-2022 16:39,1.4,5.5,0,19.73,7,13.5,0.75
station1,11-04-2022 16:59,1.6,5.5,0,15.85,7.2,97.9,0.6
station1,11-04-2022 17:19,35.7,5.5,0,18.76,7,4.7,0.67
station1,11-04-2022 17:39,6.2,6,0,17.16,6.6,86.2,0.72
station1,11-04-2022 17:59,22.6,5.1,0.1,19.31,6.6,82.1,0.68
station1,11-04-2022 18:19,5.4,5.9,0.1,19.26,6.9,59.7,0.65
station1,11-04-2022 18:39,8.2,5.4,0,18.71,7.7,44,0.71
station1,11-04-2022 18:59,19.6,5.2,0,19.14,7.3,84.5,0.66
station1,11-04-2022 19:19,7,5.9,0.1,18.74,6.5,88,0.68
station1,11-04-2022 19:39,37.3,5.8,0,16.01,8.5,35.5,0.6
station1,11-04-2022 19:59,21,5.9,0,16.31,6.8,19.8,0.74
station1,11-04-2022 20:19,23.5,6,0,19.81,7.6,5.3,0.73
station1,11-04-2022 20:39,21.5,5.1,0,18.53,7.2,71.1,0.63
station1,11-04-2022 20:59,32.9,5.1,0,16.99,7.7,7.1,0.75
station1,11-04-2022 21:19,29.3,5.3,0,16.79,7.3,23,0.62
station1,11-04-2022 21:39,15.1,5.5,0,19.14,8.1,74.4,0.66
station1,11-04-2022 21:59,22,5,0,19.36,7.6,7.9,0.71
station1,11-04-2022 22:19,9.1,6,0,16.52,7.9,95.5,0.63
station1,11-04-2022 22:39,5.4,5.6,0.1,17.06,7.7,66.6,0.73
station1,11-04-2022 22:59,15.1,5.1,0,15.26,7,6.2,0.61
station1,11-04-2022 23:19,9.6,5.3,0,17.49,8.1,60.1,0.72
station1,11-04-2022 23:39,35.1,5.9,0.1,15.28,7.2,29.3,0.65
station1,11-04-2022 23:59,30.6,5.5,0,17.2,8.1,85.2,0.6
station1,12-04-2022 00:19,26.3,5.1,0,15.78,6.8,15,0.74
station1,12-04-2022 00:39,24,5.6,0.1,17.37,6.6,91.9,0.69
station1,12-04-2022 00:59,23.4,5.4,0.1,15.43,6.5,44.9,0.63
station1,12-04-2022 01:19,0.4,5,0,17.59,7,69.5,0.6
station1,12-04-2022 01:39,5.3,5.9,0.1,19.11,8.4,52.3,0.74
station1,12-04-2022 01:59,8.1,5.8,0,16.82,8.1,14.9,0.63
station1,12-04-2022 02:19,18.5,6,0.1,15.3,7.2,89.8,0.7
station1,12-04-2022 02:39,5.9,5,0.1,17.14,7.9,23.5,0.71
station1,12-04-2022 02:59,7.5,5.7,0,17.5,7.3,47.5,0.68
station1,12-04-2022 03:19,13.5,5.7,0.1,17.05,7.5,25.8,0.64
station1,12-04-2022 03:39,13.7,5.7,0.1,16.98,7.6,57.1,0.74
station1,12-04-2022 03:59,32,5.4,0.1,19.68,7.6,36,0.73
station1,12-04-2022 04:19,12,6,0,17.06,7.2,44,0.61
station1,12-04-2022 04:39,3.9,5.3,0.1,16.22,7.9,3.2,0.6
station1,12-04-2022 04:59,10.6,5.4,0,19.18,6.7,94.2,0.64
station1,12-04-2022 05:19,16.2,5.4,0.1,19.02,8.3,73.4,0.75
station1,12-04-2022 05:39,19,5.7,0.1,19.6,7.9,33.6,0.68
station1,12-04-2022 05:59,0.7,5.3,0.1,19.42,7.1,86.1,0.65
station1,12-04-2022 06:19,1.2,5.1,0,15.17,8.4,55.7,0.64
station1,12-04-2022 06:39,1.1,5.3,0.1,17.82,7.3,22.2,0.6
station1,12-04-2022 06:59,18.1,5.7,0,17.2,6.9,48.2,0.6
station1,12-04-2022 07:19,17.3,5.1,0,18.89,7.9,12.1,0.68
station1,12-04-2022 07:39,35.7,6,0,15.51,7,27.4,0.63
station1,12-04-2022 07:59,23.9,5.5,0,16.87,6.5,30.1,0.64
station1,12-04-2022 08:19,37.6,5,0.1,18.14,8.5,47.2,0.68
station1,12-04-2022 08:39,22.6,5.8,0,18.16,8.4,24.9,0.61
station1,12-04-2022 08:59,36.4,5.6,0.1,18.94,8.4,46.9,0.72
station1,12-04-2022 09:19,7.6,5.2,0.1,17.92,7.5,95.3,0.64
station1,12-04-2022 09:39,0.7,5.7,0.1,15.95,8.2,53.8,0.72
station1,12-04-2022 09:59,18,5.5,0,18.58,6.5,63,0.6
station1,12-04-2022 10:19,14.4,5.2,0,17.81,7.5,68.2,0.69
station1,12-04-2022 10:39,18.2,5.6,0,15.15,7.8,21.6,0.6
station1,12-04-2022 10:59,30.8,5.9,0,17.15,8.3,27.4,0.6
station1,12-04-2022 11:19,23.7,5.8,0.1,18.74,7.9,11.8,0.61
station1,12-04-2022 11:39,1.4,5.1,0.1,18.71,8.5,64.9,0.73
station1,12-04-2022 11:59,1.4,5.8,0,17.55,7.9,24.6,0.72
station1,12-04-2022 12:19,16.8,6,0,18.31,8.1,5.3,0.66
station1,12-04-2022 12:39,6.8,5.4,0.1,19.48,6.9,46.9,0.61
station1,12-04-2022 12:59,0.9,5,0.1,16.65,6.9,65.7,0.66
station1,12-04-2022 13:19,11.9,5.2,0.1,18.34,7.3,40.1,0.71
station1,12-04-2022 13:39,21.5,5.8,0,16.85,7.3,79.4,0.66
station1,12-04-2022 13:59,30.8,5.4,0,15.96,7.3,60.8,0.68
station1,12-04-2022 14:19,38.2,5.8,0.1,19.82,8.1,75.3,0.74
station1,12-04-2022 14:39,33,5.6,0.1,15.62,7.4,12.7,0.61
station1,12-04-2022 14:59,18,5.8,0,16.97,8.3,4.8,0.74
station1,12-04-2022 15:19,12.3,5.1,0.1,19.47,8.4,10.9,0.72
station1,12-04-2022 15:39,13.2,5.9,0,16.29,8.4,80,0.61
station1,12-04-2022 15:59,14.8,5.9,0,19.73,7.1,11.4,0.71
station1,12-04-2022 16:19,3.1,5,0.1,17.77,7.6,67,0.66
station1,12-04-2022 16:39,21.7,5.4,0,15.3,8,2.9,0.63
station1,12-04-2022 16:59,8.1,6,0.1,19.99,6.9,28.9,0.67
station1,12-04-2022 17:19,18.2,5.5,0.1,16.7,8.2,71.3,0.67
station1,12-04-2022 17:39,39.9,5.9,0,18.17,7.7,50.1,0.72
station1,12-04-2022 17:59,8.8,5.7,0,17.09,6.5,9.5,0.74
station1,12-04-2022 18:19,7.5,5.3,0,19.23,7.3,14.9,0.63
station1,12-04-2022 18:39,23.7,5.9,0,16.69,8.3,87.7,0.73
station1,12-04-2022 18:59,29.6,5.1,0,16.76,6.6,34.8,0.71
station1,12-04-2022 19:19,15,5.9,0,17.92,7,38,0.61
station1,12-04-2022 19:39,17.9,5.2,0.1,16.7,7.9,76.4,0.67
station1,12-04-2022 19:59,17.1,5.4,0,15.33,7.4,60.6,0.68
station1,12-04-2022 20:19,20.1,5.8,0,19.55,7.4,28.6,0.68
station1,12-04-2022 20:39,11,5.7,0.1,16.84,7.9,13,0.64
station1,12-04-2022 20:59,32.8,5.4,0,19.32,7,11.6,0.66
station1,12-04-2022 21:19,36.9,5.7,0,18.89,6.8,15.4,0.74
station1,12-04-2022 21:39,14,5.2,0.1,16.73,7.4,15.8,0.71
station1,12-04-2022 21:59,10.8,5.2,0,17.53,7,48.5,0.72
station1,12-04-2022 22:19,1.2,5.1,0,18.76,6.9,40.5,0.7
station1,12-04-2022 22:39,5.7,5.8,0.1,19.1,6.9,97.7,0.72
station1,12-04-2022 22:59,0.5,5.7,0,16.55,8.3,50.1,0.74
station1,12-04-2022 23:19,13.6,5.4,0.1,19.63,7.9,15.5,0.67
station1,12-04-2022 23:39,15.5,5.9,0.1,15.71,8.2,31.6,0.71
station1,12-04-2022 23:59,7.8,5.8,0.1,16.1,7.9,79.4,0.74
station1,13-04-2022 00:19,25.7,5.5,0.1,17.74,8,32,0.75
station1,13-04-2022 00:39,31.5,5.5,0,18.7,7.9,17.7,0.7
station1,13-04-2022 00:59,35.1,5.9,0.1,19.86,7.5,87.6,0.65
station1,13-04-2022 01:19,9.5,5.4,0,19.03,7.2,86.8,0.67
station1,13-04-2022 01:39,32.3,5.6,0,16.83,7.2,3.2,0.62
station1,13-04-2022 01:59,1.2,5.2,0.1,18.99,6.8,37.4,0.63
station1,13-04-2022 02:19,18.2,6,0.1,19.04,7.9,13.4,0.74
station1,13-04-2022 02:39,26.8,5.6,0.1,18.34,7.1,87.7,0.6
station1,13-04-2022 02:59,13,5.6,0.1,17.83,7.8,38.7,0.67
station1,13-04-2022 03:19,8.2,5.1,0,18.21,7.8,93.1,0.65
station1,13-04-2022 03:39,8.3,5.3,0,18.34,8.2,5.7,0.63
station1,13-04-2022 03:59,38.9,5.3,0.1,15.37,7.3,57.4,0.6
station1,13-04-2022 04:19,30.8,5.9,0,15.27,8.1,31.9,0.6
station1,13-04-2022 04:39,31.1,5.6,0.1,17.96,7.4,47.9,0.65
station1,13-04-2022 04:59,32.8,5.8,0.1,18.53,6.6,47,0.68
station1,13-04-2022 05:19,5.2,5.1,0,18.62,6.7,94.8,0.69
station1,13-04-2022 05:39,11.9,5.5,0.1,17.66,7.3,53.9,0.61
station1,13-04-2022 05:59,36.8,5.4,0.1,19.48,7.2,81.3,0.65
station1,13-04-2022 06:19,30.4,5.8,0,19.87,6.8,46.7,0.65
station1,13-04-2022 06:39,29.1,5.3,0.1,19.63,8.2,58.9,0.64
station1,13-04-2022 06:59,16.2,5,0,17.33,8,5.9,0.69
station1,13-04-2022 07:19,31.2,5.8,0,17.98,6.5,21.5,0.73
station1,13-04-2022 07:39,37,5.6,0.1,20,7.7,16.8,0.66
station1,13-04-2022 07:59,1.4,5.8,0.1,17.29,6.6,79.6,0.64
station1,13-04-2022 08:19,13.8,5.5,0.1,15.45,7.7,6.9,0.71
station1,13-04-2022 08:39,16.5,5.3,0.1,18.14,6.5,80,0.74
station1,13-04-2022 08:59,3,5,0,16.82,8,18.1,0.64
station1,13-04-2022 09:19,25.2,6,0,17.15,8.5,23.1,0.73
station1,13-04-2022 09:39,22.7,5.4,0,17.76,7.4,49.8,0.7
station1,13-04-2022 09:59,0.3,5.1,0,17.3,8.3,40,0.68
station1,13-04-2022 10:19,11.6,5.3,0,18.66,7.7,20.9,0.61
station1,13-04-2022 10:39,5.8,5.6,0,18.33,7.3,18.9,0.63
station1,13-04-2022 10:59,28.5,5.3,0.1,18.26,8.5,79,0.75
station1,13-04-2022 11:19,7.2,5.4,0.1,17.17,8.2,65.1,0.65
station1,13-04-2022 11:39,7.1,5.2,0.1,18.96,6.9,27,0.6
station1,13-04-2022 11:59,36.4,5.8,0,19.01,8.5,83.9,0.69
station1,13-04-2022 12:19,9.8,5.7,0,16.78,7.3,96.4,0.74
station1,13-04-2022 12:39,8.7,5.1,0,18.73,7.8,85.1,0.61
station1,13-04-2022 12:59,4.6,5.6,0.1,18.37,7,83.5,0.74
station1,13-04-2022 13:19,0.6,5.9,0.1,18.98,8,96.4,0.6
station1,13-04-2022 13:39,36.7,5.2,0,15.84,7.5,14.2,0.74
station1,13-04-2022 13:59,22.3,5.5,0,15.69,7.4,18.8,0.64
